compo	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022		
BaLiMoOSrTb																1													
CHKNORuSm																													
CCaHLaNO								1				1			1														
CaLaMnOSi							3					5							1		1								
BOSiSmZn									1						1														
EuGeOPbV																										3			
NbSnY																	1												
BHoLiOSr																				1									
SScU																			1	1									
BiCaOPrSrTa																	11												
CoFePrSmTi																													
BiCaLuOSr						1																							
OTeWYb																					1								
CuSeSmSn										1																			
CaLaMnOSm		2	1								2	1						1						1		5			
CaLaMnOSn											4																8		
AlCHMgOPr																													
CClDyHNNaNiO																	1									1			
LaMnNdOSr	3	13	12	16	1	3	10	1	4	1	1		2			1						5	5			1			
CeIrMg													1									1							
CeGdOSmY															1														
BCCoGdNi																													
KNbOTeY																													
BaCCeHNO										3										1									
BClGd				1																									
AlCeFeNi													4																
BaLiMoOSrTm																1													
CaLaMnOSr	5	4	16	8	15	6	6	4	11	23	15	17	1	9	1	2	2		1	7	2	2		4	1	1			
FeMnNSm					9																								
AgGdY												1																	
BCoFeHfNd		1																											
FeMoTb	2		1							7																			
EuLaLiMgMoOW																							5						
CoGeNdS																				1		1							
AsLaNi		1		4				1	1																				
CDyHOP			2								1	1	1	3			1	1	3	1		3	1	1	1	2	3		
BeGaGeNdO																							2						
CHIOPSTm											1																		
CeCuMnOSm																										1			
AlFeInOY	6																												
CoGeNdU		3			2		1																						
BiFeNiOYb																					3								
CeCuMnOSn																										1			
CdCeCuHoOPbSr	1																												
EuLaMnOPSrTb																									8				
CDyHOS				1		1	1			1	2	2	2	1		1	2	1	3	2	1	6	2	2	2	2	2		
CEuHLuNO				1		1			2	1														1		2			
CEuKNSi																					1								
AlCrLiOPSrYb																											3		
CDyHOU																			1										
CClDyFHNOPSi																										2			
CaErLaOYbZn																			8										
AsNdSe																													
BaLaOTiZn		1																	1										
CDyHOW									1																1				
ErHMnRe															1														
FeMoTm																													
CDyHOY															1				1	1	1	1	1			1	1		
CePdPtSb					5																								
CdGdOPTh								1																					
AsNdSi																													
CClCsDyHNaOSiW																1													
MgNaOPTbY																					1								
BErMo																													
ClCsTb		2					1				2																		
