compo	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022		
CHPtSe				1							9												1						
CCoHORhSi											8																		
CCoFeNSmV																													
CCoFeNSmW																													
AsCHOPVW																													
CHPtSi		1				1	19								1			1					1			10			
BBrCHNOSiW																						3	1						
BCFFeHNPdSSe																													
AuCHPRuS																								1	1				
CClCoFeHHgOPS								1																					
CHPtSn	1			7											29	33					2								
CHNOTmW												2																	
CHNNaOPYb												2													1				
CFHInLiO														2															
AgCClFeHSiTi					1																								
CCrHNOPWZn																									1				
CHNOPrRhSZn																									1				
CHNOTmY							2	2													2								
CCuGdHNOP																				3									
