	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
BO	0.79	1.11	7.71	1.88		23.00	0.45	2.25	0.33	4.80	4.33	2.50	15.76	4.67	6.77	3.38	17.00		4.25	8.79	11.00	1.85	2.80	13.33	40.03	11.76	8.63
NP		0.80				2.14	1.29		2.40	2.00	1.80	0.60	107.14	1.33	1.84		0.22	2.34	8.98	10.55	5.37	3.08		7.40	18.05	27.54	27.40
EC	2.00	1.40	7.00			4.00		9.22					2.17	0.25	4.00	0.56	33.00		7.53	23.45	7.53	17.77	11.40	8.98	8.16	54.17	14.15
SD	2.33	1.00	0.50				0.50		0.20	0.88	1.25		0.20	0.82	5.53	10.27	24.30	6.42	15.42	21.98	7.43	13.33	9.00	13.76	1.24	30.40	20.82
LU							1.83		7.20		12.20	14.50	12.87	22.50	7.08	1.11	10.70	11.42	24.63	40.89	8.48	4.98	4.21	4.90	8.00	8.62	8.75
BA							0.71	0.20			1.25	0.25				4.94		13.56		13.89	4.33	10.54	18.44	5.80	10.96	19.35	27.19
BN	11.44	0.80	2.47	0.67		5.90		3.27	7.65	6.45	5.45	0.60	2.75	6.00	3.25	23.87	35.98	4.33	6.87	8.23	3.43	4.00		0.45		4.43	4.66
LI			2.00	12.00				0.17	34.33		54.60			0.50	6.33		5.00	1.00	25.73	0.50	0.13	17.29	0.87		0.77	3.35	
PY	1.33		6.08	2.00	1.33	3.50	3.00	1.29		19.30	4.17		0.30	3.85	1.40	3.00	20.33	16.80	22.71	8.09	2.92	13.46		7.58	8.02	3.94	15.11
NC	7.33	0.25	6.37	7.25	0.60	8.51	2.23	1.13	0.57			19.67	0.25	0.50	3.60	1.00	1.10	0.36	6.44	5.54	4.19	35.11	3.33	0.20	7.99		1.00
MK	20.67	22.00	6.00	33.37	11.83	16.83	2.00	13.00	0.67		3.00	11.40		1.00		1.00			3.43		2.00	1.50		2.27	1.00		1.07
MG	1.25	1.42	5.46	8.56	5.10	4.67	6.98	9.53	1.45	6.00	3.25	6.17	4.93	5.45	11.74	6.59	9.32	6.07	6.25	10.72	13.27	13.26	1.29	5.18	1.55	14.19	1.96
GH	5.78	2.13		3.03	0.42		0.67	0.08	1.40		1.39			11.00	31.00				8.82	8.99	17.93	9.56	5.18	3.63	14.16	8.81	12.10
BH	5.00	19.00	15.50		4.00												8.00	1.38		0.29	0.17	2.00	17.96	6.63	5.16	11.41	14.87
ML								20.00		3.78	10.98			3.00		2.13	1.20	1.68			48.17		28.76		3.30		
MN	3.37	4.43			1.00	10.32	12.61	15.46					0.54	2.08	2.57	5.08	2.03	3.30	2.99	4.05	12.35	11.58	4.46	7.52	16.67	13.55	1.50
MT																2.00		1.33	20.67	9.00	21.00	58.00	11.00	4.00	12.65	7.00	6.25
